timestamp,experiment_id,project_name,duration,emissions,energy_consumed,country_name,country_iso_code,region,on_cloud,cloud_provider,cloud_region
2021-03-25T17:15:42,40367a98-d690-492c-89c0-05c066153ef3,LGBMClassifier_tdf,4.515016794204712,9.876442235193083e-09,2.326146035127443e-08,France,FRA,île-de-france,N,,
2021-03-25T17:17:46,079ccff8-7f92-4432-99a1-fa5c19fd603a,LGBMClassifier_tdf,1.4275329113006592,2.6514435524154278e-09,6.244804313073364e-09,France,FRA,île-de-france,N,,
2021-03-25T17:19:04,2ab16f60-5156-4154-bfd0-7cf9f16b75f2,LGBMClassifier_tdf,1.4253177642822266,6.867911413995731e-09,1.6175627341134707e-08,France,FRA,île-de-france,N,,
2021-03-25T17:19:27,119a0bb5-03d7-459f-a575-b994e1a9f75e,LGBMClassifier_tdf,4.437341928482056,5.72377843761909e-09,1.3480911649715433e-08,France,FRA,île-de-france,N,,
2021-03-25T18:21:15,b2b5757d-9268-48f5-8ce8-df240cecd847,LGBMClassifier_tdf,1.4428431987762451,2.657761741596249e-09,6.259685208807034e-09,France,FRA,île-de-france,N,,
2021-03-26T08:17:21,de11d3a2-02aa-495f-b3cc-3939c3e680ab,LGBMClassifier_tdf,1.6059589385986328,4.495395147970966e-08,1.0587765665780129e-07,France,FRA,île-de-france,N,,
2021-03-26T08:27:00,c8db8a75-27b1-4f78-a210-8a6604ce07ac,LGBMClassifier_tdf,4.644625186920166,5.120431065856768e-08,1.2059879598691594e-07,France,FRA,île-de-france,N,,
2021-03-26T09:05:06,60937d2a-d109-436c-94a7-607020b5daf7,tdf_innovation,1.6373319625854492,1.1883320066589413e-07,2.7988153222370303e-07,France,FRA,île-de-france,N,,
2021-03-26T09:12:25,b76a330c-a35e-4f51-b00c-c3e3a106706a,tdf_innovation,4.678567171096802,1.451705530561293e-07,3.4191250084517047e-07,France,FRA,île-de-france,N,,
2021-03-26T09:22:46,49ece312-5cf2-44f2-a277-6e2c45ba6f0c,tdf_innovation,2.5887248516082764,3.420144895309542e-08,8.055285798601262e-08,France,FRA,île-de-france,N,,
2021-03-26T11:31:54,5d6523e7-acf0-4221-a22f-ad5261b397ef,tdf_innovation,5.555768013000488,1.7851787028138766e-06,4.204536676929462e-06,France,FRA,île-de-france,N,,
2021-03-26T11:38:05,7a6b1c99-cd20-483d-9ad3-7a2812e03fb0,tdf_innovation,2.700655698776245,1.1264848521625589e-07,2.6531500008695515e-07,France,FRA,île-de-france,N,,
2021-03-26T13:12:38,4c679003-e1f8-4cac-86d9-a35447e7cc81,tdf_innovation,4.680032014846802,6.013966871143404e-08,1.4164377069760215e-07,France,FRA,île-de-france,N,,
