"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:12:34:658","59571190773181","   0.104","  61.870"," 3441","  700"," 4000"," 4072","  12.234","   1.271","   0.353","  10.832","   1.126","   0.313"," 58","0"," 54"," 73","  66.834","  54.000","  15.000","  28.000","    0","    0"
"13:12:34:775","59571460731765","   0.221","  11.946"," 1092","  700"," 2200"," 1099","   1.356","   1.430","   0.397","   0.415","   1.174","   0.326"," 57","0"," 51"," 58","  54.675"," 105.000","  29.167","  28.000","    0","    0"
"13:12:34:880","59571703143321","   0.326","  17.442"," 1383","  700"," 2100"," 1952","   2.555","   1.699","   0.472","   0.953","   1.274","   0.354"," 55","0"," 50"," 57","  54.430"," 155.000","  43.056","  28.000","    0","    0"
"13:12:34:986","59571946978245","   0.432","   9.991"," 1240","  700"," 2100"," 1255","   1.196","   1.825","   0.507","   0.401","   1.317","   0.366"," 56","0"," 50"," 56","  52.919"," 205.000","  56.944","  28.000","    0","    0"
"13:12:35:088","59572181940997","   0.534","   3.896","  874","  700"," 2100","  861","   0.707","   1.898","   0.527","   0.110","   1.328","   0.369"," 55","0"," 50"," 54","  52.611"," 255.000","  70.833","  28.000","    0","    0"
"13:12:35:192","59572422420889","   0.638","   4.838","  845","  700"," 1200","  844","   0.774","   1.978","   0.550","   0.183","   1.347","   0.374"," 55","0"," 49"," 54","  52.313"," 304.000","  84.444","  28.000","    0","    0"
"13:12:35:295","59572659515589","   0.741","   7.616"," 1290","  700"," 2400"," 1295","   1.167","   2.098","   0.583","   0.379","   1.386","   0.385"," 55","0"," 50"," 56","  52.663"," 354.000","  98.333","  28.000","    0","    0"
"13:12:35:399","59572898137881","   0.845","  11.552","  845","  700"," 1200","  837","   1.312","   2.234","   0.621","   0.194","   1.406","   0.391"," 54","0"," 49"," 54","  52.144"," 403.000"," 111.944","  28.000","    0","    0"
"13:12:35:500","59573130764421","   0.946","   7.621","  868","  700"," 1200","  881","   1.211","   2.357","   0.655","   0.225","   1.429","   0.397"," 56","0"," 49"," 54","  51.658"," 452.000"," 125.556","  28.000","    0","    0"
"13:12:35:604","59573369850913","   1.050","   8.371","  838","  700"," 1200","  836","   1.232","   2.484","   0.690","   0.199","   1.450","   0.403"," 54","0"," 49"," 54","  51.889"," 501.000"," 139.167","  28.000","    0","    0"
"13:12:35:705","59573602456437","   1.151","   6.985","  862","  700"," 1200","  867","   1.011","   2.586","   0.718","   0.166","   1.466","   0.407"," 55","0"," 49"," 54","  51.914"," 550.000"," 152.778","  28.000","    0","    0"
"13:12:35:809","59573842121329","   1.255","   6.448"," 1372","  700"," 2400"," 1386","   0.989","   2.689","   0.747","   0.343","   1.502","   0.417"," 55","0"," 50"," 55","  52.684"," 600.000"," 166.667","  28.000","    0","    0"

"Total Elapsed Time (sec) = 1.254669"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 2.689331"
"Cumulative Package Energy_0 (mWh) = 0.747036"
"Average Package Power_0 (Watt) = 2.143459"

"Cumulative IA Energy_0 (Joules) = 1.502136"
"Cumulative IA Energy_0 (mWh) = 0.417260"
"Average Package IA_0 (Watt) = 1.197237"

"Cumulative DRAM Energy_0 (Joules) = 600.000000"
"Cumulative DRAM Energy_0 (mWh) = 166.666667"
"Average Package DRAM_0 (Watt) = 478.213795"
